"","UGT71C5_pwg","UGT71C5_t.statistic","UGT71C4_pwg","UGT71C4_t.statistic","UGT71C3_pwg","UGT71C3_t.statistic","AT1G50580_pwg","AT1G50580_t.statistic","AT1G64910_pwg","AT1G64910_t.statistic","AT1G64920_pwg","AT1G64920_t.statistic","AT2G18560_pwg","AT2G18560_t.statistic","AT2G18570_pwg","AT2G18570_t.statistic","AT2G22590_pwg","AT2G22590_t.statistic","AT2G22930_pwg","AT2G22930_t.statistic","MAX1_pwg","MAX1_t.statistic","AT2G29710_pwg","AT2G29710_t.statistic","UGT71D1_pwg","UGT71D1_t.statistic","UGT71C2_pwg","UGT71C2_t.statistic","UGT71C1_pwg","UGT71C1_t.statistic","AT2G38240_pwg","AT2G38240_t.statistic","AT2G38240_pwg","AT2G38240_t.statistic","AT3G11180_pwg","AT3G11180_t.statistic","UGT71B1_pwg","UGT71B1_t.statistic","HYR1_pwg","HYR1_t.statistic","UGT71B6_pwg","UGT71B6_t.statistic","AT3G21790_pwg","AT3G21790_t.statistic","UGT71B8_pwg","UGT71B8_t.statistic","AT3G29630_pwg","AT3G29630_t.statistic","UGT72E1_pwg","UGT72E1_t.statistic","TT6_pwg","TT6_t.statistic","TT5_pwg","TT5_t.statistic","JRG21_pwg","JRG21_t.statistic","AT4G09500_pwg","AT4G09500_t.statistic","AT4G15260_pwg","AT4G15260_t.statistic","AT4G16330_pwg","AT4G16330_t.statistic","AT4G22870_pwg","AT4G22870_t.statistic","TT18_pwg","TT18_t.statistic","AT4G27560_pwg","AT4G27560_t.statistic","AT4G27570_pwg","AT4G27570_t.statistic","AT4G36770_pwg","AT4G36770_t.statistic","AT5G05600_pwg","AT5G05600_t.statistic","FLS1_pwg","FLS1_t.statistic","AT5G12270_pwg","AT5G12270_t.statistic","TT4_pwg","TT4_t.statistic","UGT78D3_pwg","UGT78D3_t.statistic","AT5G17040_pwg","AT5G17040_t.statistic","UGT78D2_pwg","UGT78D2_t.statistic","UGT72E3_pwg","UGT72E3_t.statistic","TT3_pwg","TT3_t.statistic","AT5G49690_pwg","AT5G49690_t.statistic","AT5G53990_pwg","AT5G53990_t.statistic","AT5G54010_pwg","AT5G54010_t.statistic","UF3GT_pwg","UF3GT_t.statistic","AT5G65550_pwg","AT5G65550_t.statistic","UGT72E2_pwg","UGT72E2_t.statistic"
"IDD4","IDD4",0,"ZAP1",0,"ZAP1",0,"SUVH10",0,"UNE4",0,"AT2G12900",0,"AGL30",0,"AGL30",0,"NF-YB7",0,"AT2G05160",0,"AT2G06020",0,"AT2G05160",0,"AT2G05160",0,"GRF6",0,"AT2G12900",0,"AT2G05160",0,"WHY3",0,"AT2G13150",0,"WRKY3",0,"AT2G03500",0,"bZIP48",0,"AGL30",0,"ANR1",0,"AT2G06020",0,"AL6",0,"AL6",0,"AGL30",0,"AT2G12900",0,"AT2G05160",0,"bZIP48",0,"MYB88",0,"SCL21",0,"SCL21",0,"SCL21",0,"SCL21",0,"SUVH10",0,"AGL30",0,"WHY3",0,"NF-YB7",0,"WHY3",0,"UNE4",0,"UNE4",0,"WHY3",0,"AT2G12900",0,"ZAP1",0,"AT2G13150",0,"NF-YB7",0,"NF-YB7",0,"SCL21",0,"NF-YB7",0,"GRF6",0
"AT2G02160","AT2G02160",0,"SCL21",0,"SCL21",0,"AT2G06020",0,"AT2G13150",0,"UNE4",0,"WRKY3",0,"WRKY3",0,"ANR1",0,"SUVH10",0,"GRF6",0,"SUVH10",0,"SUVH10",0,"AT2G12900",0,"UNE4",0,"SUVH10",0,"MYB88",0,"NF-YB7",0,"AT2G03500",0,"AT2G03710",0,"ZAP1",0,"WRKY3",0,"AT2G14760",0,"GRF6",0,"WHY3",0,"WHY3",0,"WRKY3",0,"UNE4",0,"SUVH10",0,"ZAP1",0,"AGL30",0,"AT2G05160",0,"AT2G05160",0,"AT2G05160",0,"AT2G05160",0,"AT2G06020",0,"WRKY3",0,"MYB88",0,"ANR1",0,"MYB88",0,"AT2G13150",0,"AT2G13150",0,"MYB88",0,"UNE4",0,"SCL21",0,"NF-YB7",0,"ANR1",0,"ANR1",0,"AT2G05160",0,"ANR1",0,"AT2G12900",0
"NAC035","NAC035",0,"AT2G05160",0,"AT2G05160",0,"GRF6",0,"NF-YB7",0,"AT2G13150",0,"AT2G03500",0,"AT2G03500",0,"AT2G14760",0,"AT2G06020",0,"AT2G12900",0,"AT2G06020",0,"AT2G06020",0,"UNE4",0,"AT2G13150",0,"AT2G06020",0,"AGL30",0,"ANR1",0,"AT2G03710",0,"bZIP48",0,"SCL21",0,"AT2G03500",0,"AT2G15740",0,"AT2G12900",0,"MYB88",0,"MYB88",0,"AT2G03500",0,"AT2G13150",0,"AT2G06020",0,"SCL21",0,"WRKY3",0,"SUVH10",0,"SUVH10",0,"SUVH10",0,"SUVH10",0,"GRF6",0,"AT2G03500",0,"AGL30",0,"AT2G14760",0,"AGL30",0,"NF-YB7",0,"NF-YB7",0,"AGL30",0,"AT2G13150",0,"AT2G05160",0,"ANR1",0,"AT2G14760",0,"AT2G14760",0,"SUVH10",0,"AT2G14760",0,"UNE4",0
"AL6","AL6",0,"SUVH10",0,"SUVH10",0,"AT2G12900",0,"ANR1",0,"NF-YB7",0,"AT2G03710",0,"AT2G03710",0,"AT2G15740",0,"GRF6",0,"UNE4",0,"GRF6",0,"GRF6",0,"AT2G13150",0,"NF-YB7",0,"GRF6",0,"WRKY3",0,"AT2G14760",0,"bZIP48",0,"ZAP1",0,"AT2G05160",0,"AT2G03710",0,"AT2G16210",0,"UNE4",0,"AGL30",0,"AGL30",0,"AT2G03710",0,"NF-YB7",0,"GRF6",0,"AT2G05160",0,"AT2G03500",0,"AT2G06020",0,"AT2G06020",0,"AT2G06020",0,"AT2G06020",0,"AT2G12900",0,"AT2G03710",0,"WRKY3",0,"AT2G15740",0,"WRKY3",0,"ANR1",0,"ANR1",0,"WRKY3",0,"NF-YB7",0,"SUVH10",0,"AT2G14760",0,"AT2G15740",0,"AT2G15740",0,"AT2G06020",0,"AT2G15740",0,"AT2G13150",0
"WHY3","WHY3",0,"AT2G06020",0,"AT2G06020",0,"UNE4",0,"AT2G14760",0,"ANR1",0,"bZIP48",0,"bZIP48",0,"AT2G16210",0,"AT2G12900",0,"AT2G13150",0,"AT2G12900",0,"AT2G12900",0,"NF-YB7",0,"ANR1",0,"AT2G12900",0,"AT2G03500",0,"AT2G15740",0,"ZAP1",0,"SCL21",0,"SUVH10",0,"bZIP48",0,"BLH7",0,"AT2G13150",0,"WRKY3",0,"WRKY3",0,"bZIP48",0,"ANR1",0,"AT2G12900",0,"SUVH10",0,"AT2G03710",0,"GRF6",0,"GRF6",0,"GRF6",0,"GRF6",0,"UNE4",0,"bZIP48",0,"AT2G03500",0,"AT2G16210",0,"AT2G03500",0,"AT2G14760",0,"AT2G14760",0,"AT2G03500",0,"ANR1",0,"AT2G06020",0,"AT2G15740",0,"AT2G16210",0,"AT2G16210",0,"GRF6",0,"AT2G16210",0,"NF-YB7",0
"MYB88","MYB88",0,"GRF6",0,"GRF6",0,"AT2G13150",0,"AT2G15740",0,"AT2G14760",0,"ZAP1",0,"ZAP1",0,"BLH7",0,"UNE4",0,"NF-YB7",0,"UNE4",0,"UNE4",0,"ANR1",0,"AT2G14760",0,"UNE4",0,"AT2G03710",0,"AT2G16210",0,"SCL21",0,"AT2G05160",0,"AT2G06020",0,"ZAP1",0,"MYB7",0,"NF-YB7",0,"AT2G03500",0,"AT2G03500",0,"ZAP1",0,"AT2G14760",0,"UNE4",0,"AT2G06020",0,"bZIP48",0,"AT2G12900",0,"AT2G12900",0,"AT2G12900",0,"AT2G12900",0,"AT2G13150",0,"ZAP1",0,"AT2G03710",0,"BLH7",0,"AT2G03710",0,"AT2G15740",0,"AT2G15740",0,"AT2G03710",0,"AT2G14760",0,"GRF6",0,"AT2G16210",0,"BLH7",0,"BLH7",0,"AT2G12900",0,"BLH7",0,"ANR1",0
"AGL30","AGL30",0,"AT2G12900",0,"AT2G12900",0,"NF-YB7",0,"AT2G16210",0,"AT2G15740",0,"SCL21",0,"SCL21",0,"MYB7",0,"AT2G13150",0,"ANR1",0,"AT2G13150",0,"AT2G13150",0,"AT2G14760",0,"AT2G15740",0,"AT2G13150",0,"bZIP48",0,"BLH7",0,"AT2G05160",0,"SUVH10",0,"GRF6",0,"SCL21",0,"AMS",0,"ANR1",0,"AT2G03710",0,"AT2G03710",0,"SCL21",0,"AT2G15740",0,"AT2G13150",0,"GRF6",0,"ZAP1",0,"UNE4",0,"UNE4",0,"UNE4",0,"UNE4",0,"NF-YB7",0,"SCL21",0,"bZIP48",0,"MYB7",0,"bZIP48",0,"AT2G16210",0,"AT2G16210",0,"bZIP48",0,"AT2G15740",0,"AT2G12900",0,"BLH7",0,"MYB7",0,"MYB7",0,"UNE4",0,"MYB7",0,"AT2G14760",0
"WRKY3","WRKY3",0,"UNE4",0,"UNE4",0,"ANR1",0,"BLH7",0,"AT2G16210",0,"AT2G05160",0,"AT2G05160",0,"AMS",0,"NF-YB7",0,"AT2G14760",0,"NF-YB7",0,"NF-YB7",0,"AT2G15740",0,"AT2G16210",0,"NF-YB7",0,"ZAP1",0,"MYB7",0,"SUVH10",0,"AT2G06020",0,"AT2G12900",0,"AT2G05160",0,"NAC036",0,"AT2G14760",0,"bZIP48",0,"bZIP48",0,"AT2G05160",0,"AT2G16210",0,"NF-YB7",0,"AT2G12900",0,"SCL21",0,"AT2G13150",0,"AT2G13150",0,"AT2G13150",0,"AT2G13150",0,"ANR1",0,"AT2G05160",0,"ZAP1",0,"AMS",0,"ZAP1",0,"BLH7",0,"BLH7",0,"ZAP1",0,"AT2G16210",0,"UNE4",0,"MYB7",0,"AMS",0,"AMS",0,"AT2G13150",0,"AMS",0,"AT2G15740",0
"AT2G03500","AT2G03500",0,"AT2G13150",0,"AT2G13150",0,"AT2G14760",0,"MYB7",0,"BLH7",0,"SUVH10",0,"SUVH10",0,"NAC036",0,"ANR1",0,"AT2G15740",0,"ANR1",0,"ANR1",0,"AT2G16210",0,"BLH7",0,"ANR1",0,"SCL21",0,"AMS",0,"AT2G06020",0,"GRF6",0,"UNE4",0,"SUVH10",0,"AT2G17150",0,"AT2G15740",0,"ZAP1",0,"ZAP1",0,"SUVH10",0,"BLH7",0,"ANR1",0,"UNE4",0,"AT2G05160",0,"NF-YB7",0,"NF-YB7",0,"NF-YB7",0,"NF-YB7",0,"AT2G14760",0,"SUVH10",0,"SCL21",0,"NAC036",0,"SCL21",0,"MYB7",0,"MYB7",0,"SCL21",0,"BLH7",0,"AT2G13150",0,"AMS",0,"NAC036",0,"NAC036",0,"NF-YB7",0,"NAC036",0,"AT2G16210",0
"AT2G03710","AT2G03710",0,"NF-YB7",0,"NF-YB7",0,"AT2G15740",0,"AMS",0,"MYB7",0,"AT2G06020",0,"AT2G06020",0,"AT2G17150",0,"AT2G14760",0,"AT2G16210",0,"AT2G14760",0,"AT2G14760",0,"BLH7",0,"MYB7",0,"AT2G14760",0,"AT2G05160",0,"NAC036",0,"GRF6",0,"AT2G12900",0,"AT2G13150",0,"AT2G06020",0,"DAZ1",0,"AT2G16210",0,"SCL21",0,"SCL21",0,"AT2G06020",0,"MYB7",0,"AT2G14760",0,"AT2G13150",0,"SUVH10",0,"ANR1",0,"ANR1",0,"ANR1",0,"ANR1",0,"AT2G15740",0,"AT2G06020",0,"AT2G05160",0,"AT2G17150",0,"AT2G05160",0,"AMS",0,"AMS",0,"AT2G05160",0,"MYB7",0,"NF-YB7",0,"NAC036",0,"AT2G17150",0,"AT2G17150",0,"ANR1",0,"AT2G17150",0,"BLH7",0
"bZIP48","bZIP48",0,"ANR1",0,"ANR1",0,"AT2G16210",0,"NAC036",0,"AMS",0,"GRF6",0,"GRF6",0,"DAZ1",0,"AT2G15740",0,"BLH7",0,"AT2G15740",0,"AT2G15740",0,"MYB7",0,"AMS",0,"AT2G15740",0,"SUVH10",0,"AT2G17150",0,"AT2G12900",0,"UNE4",0,"NF-YB7",0,"GRF6",0,"AT2G17410",0,"BLH7",0,"AT2G05160",0,"AT2G05160",0,"GRF6",0,"AMS",0,"AT2G15740",0,"NF-YB7",0,"AT2G06020",0,"AT2G14760",0,"AT2G14760",0,"AT2G14760",0,"AT2G14760",0,"AT2G16210",0,"GRF6",0,"SUVH10",0,"DAZ1",0,"SUVH10",0,"NAC036",0,"NAC036",0,"SUVH10",0,"AMS",0,"ANR1",0,"AT2G17150",0,"DAZ1",0,"DAZ1",0,"AT2G14760",0,"DAZ1",0,"MYB7",0
"ZAP1","ZAP1",0,"AT2G14760",0,"AT2G14760",0,"BLH7",0,"AT2G17150",0,"NAC036",0,"AT2G12900",0,"AT2G12900",0,"AT2G17410",0,"AT2G16210",0,"MYB7",0,"AT2G16210",0,"AT2G16210",0,"AMS",0,"NAC036",0,"AT2G16210",0,"AT2G06020",0,"DAZ1",0,"UNE4",0,"AT2G13150",0,"ANR1",0,"AT2G12900",0,"NFD4",0,"MYB7",0,"SUVH10",0,"SUVH10",0,"AT2G12900",0,"NAC036",0,"AT2G16210",0,"ANR1",0,"GRF6",0,"AT2G15740",0,"AT2G15740",0,"AT2G15740",0,"AT2G15740",0,"BLH7",0,"AT2G12900",0,"AT2G06020",0,"AT2G17410",0,"AT2G06020",0,"AT2G17150",0,"AT2G17150",0,"AT2G06020",0,"NAC036",0,"AT2G14760",0,"DAZ1",0,"AT2G17410",0,"AT2G17410",0,"AT2G15740",0,"AT2G17410",0,"AMS",0
"SCL21","SCL21",0,"AT2G15740",0,"AT2G15740",0,"MYB7",0,"DAZ1",0,"AT2G17150",0,"UNE4",0,"UNE4",0,"NFD4",0,"BLH7",0,"AMS",0,"BLH7",0,"BLH7",0,"NAC036",0,"AT2G17150",0,"BLH7",0,"GRF6",0,"AT2G17410",0,"AT2G13150",0,"NF-YB7",0,"AT2G14760",0,"UNE4",0,"WUS1",0,"AMS",0,"AT2G06020",0,"AT2G06020",0,"UNE4",0,"AT2G17150",0,"BLH7",0,"AT2G14760",0,"AT2G12900",0,"AT2G16210",0,"AT2G16210",0,"AT2G16210",0,"AT2G16210",0,"MYB7",0,"UNE4",0,"GRF6",0,"NFD4",0,"GRF6",0,"DAZ1",0,"DAZ1",0,"GRF6",0,"AT2G17150",0,"AT2G15740",0,"AT2G17410",0,"NFD4",0,"NFD4",0,"AT2G16210",0,"NFD4",0,"NAC036",0
"AT2G05160","AT2G05160",0,"AT2G16210",0,"AT2G16210",0,"AMS",0,"AT2G17410",0,"DAZ1",0,"AT2G13150",0,"AT2G13150",0,"WUS1",0,"MYB7",0,"NAC036",0,"MYB7",0,"MYB7",0,"AT2G17150",0,"DAZ1",0,"MYB7",0,"AT2G12900",0,"NFD4",0,"NF-YB7",0,"ANR1",0,"AT2G15740",0,"AT2G13150",0,"VND1",0,"NAC036",0,"GRF6",0,"GRF6",0,"AT2G13150",0,"DAZ1",0,"MYB7",0,"AT2G15740",0,"UNE4",0,"BLH7",0,"BLH7",0,"BLH7",0,"BLH7",0,"AMS",0,"AT2G13150",0,"AT2G12900",0,"WUS1",0,"AT2G12900",0,"AT2G17410",0,"AT2G17410",0,"AT2G12900",0,"DAZ1",0,"AT2G16210",0,"NFD4",0,"WUS1",0,"WUS1",0,"BLH7",0,"WUS1",0,"AT2G17150",0
"SUVH10","SUVH10",0,"BLH7",0,"BLH7",0,"NAC036",0,"NFD4",0,"AT2G17410",0,"NF-YB7",0,"NF-YB7",0,"VND1",0,"AMS",0,"AT2G17150",0,"AMS",0,"AMS",0,"DAZ1",0,"AT2G17410",0,"AMS",0,"UNE4",0,"WUS1",0,"ANR1",0,"AT2G14760",0,"AT2G16210",0,"NF-YB7",0,"AT2G18090",0,"AT2G17150",0,"AT2G12900",0,"AT2G12900",0,"NF-YB7",0,"AT2G17410",0,"AMS",0,"AT2G16210",0,"AT2G13150",0,"MYB7",0,"MYB7",0,"MYB7",0,"MYB7",0,"NAC036",0,"NF-YB7",0,"UNE4",0,"VND1",0,"UNE4",0,"NFD4",0,"NFD4",0,"UNE4",0,"AT2G17410",0,"BLH7",0,"WUS1",0,"VND1",0,"VND1",0,"MYB7",0,"VND1",0,"DAZ1",0
"AT2G06020","AT2G06020",0,"MYB7",0,"MYB7",0,"AT2G17150",0,"WUS1",0,"NFD4",0,"ANR1",0,"ANR1",0,"AT2G18090",0,"NAC036",0,"DAZ1",0,"NAC036",0,"NAC036",0,"AT2G17410",0,"NFD4",0,"NAC036",0,"AT2G13150",0,"VND1",0,"AT2G14760",0,"AT2G15740",0,"BLH7",0,"ANR1",0,"SRS4",0,"DAZ1",0,"UNE4",0,"UNE4",0,"ANR1",0,"NFD4",0,"NAC036",0,"BLH7",0,"NF-YB7",0,"AMS",0,"AMS",0,"AMS",0,"AMS",0,"AT2G17150",0,"ANR1",0,"AT2G13150",0,"AT2G18090",0,"AT2G13150",0,"WUS1",0,"WUS1",0,"AT2G13150",0,"NFD4",0,"MYB7",0,"VND1",0,"AT2G18090",0,"AT2G18090",0,"AMS",0,"AT2G18090",0,"AT2G17410",0
"GRF6","GRF6",0,"AMS",0,"AMS",0,"DAZ1",0,"VND1",0,"WUS1",0,"AT2G14760",0,"AT2G14760",0,"SRS4",0,"AT2G17150",0,"AT2G17410",0,"AT2G17150",0,"AT2G17150",0,"NFD4",0,"WUS1",0,"AT2G17150",0,"NF-YB7",0,"AT2G18090",0,"AT2G15740",0,"AT2G16210",0,"MYB7",0,"AT2G14760",0,"GBF5",0,"AT2G17410",0,"AT2G13150",0,"AT2G13150",0,"AT2G14760",0,"WUS1",0,"AT2G17150",0,"MYB7",0,"ANR1",0,"NAC036",0,"NAC036",0,"NAC036",0,"NAC036",0,"DAZ1",0,"AT2G14760",0,"NF-YB7",0,"SRS4",0,"NF-YB7",0,"VND1",0,"VND1",0,"NF-YB7",0,"WUS1",0,"AMS",0,"AT2G18090",0,"SRS4",0,"SRS4",0,"NAC036",0,"SRS4",0,"NFD4",0
"AT2G12900","AT2G12900",0,"NAC036",0,"NAC036",0,"AT2G17410",0,"AT2G18090",0,"VND1",0,"AT2G15740",0,"AT2G15740",0,"GBF5",0,"DAZ1",0,"NFD4",0,"DAZ1",0,"DAZ1",0,"WUS1",0,"VND1",0,"DAZ1",0,"ANR1",0,"SRS4",0,"AT2G16210",0,"BLH7",0,"AMS",0,"AT2G15740",0,"TLP2",0,"NFD4",0,"NF-YB7",0,"NF-YB7",0,"AT2G15740",0,"VND1",0,"DAZ1",0,"AMS",0,"AT2G14760",0,"AT2G17150",0,"AT2G17150",0,"AT2G17150",0,"AT2G17150",0,"AT2G17410",0,"AT2G15740",0,"ANR1",0,"GBF5",0,"ANR1",0,"AT2G18090",0,"AT2G18090",0,"ANR1",0,"VND1",0,"NAC036",0,"SRS4",0,"GBF5",0,"GBF5",0,"AT2G17150",0,"GBF5",0,"WUS1",0
"UNE4","UNE4",0,"AT2G17150",0,"AT2G17150",0,"NFD4",0,"SRS4",0,"AT2G18090",0,"AT2G16210",0,"AT2G16210",0,"TLP2",0,"AT2G17410",0,"WUS1",0,"AT2G17410",0,"AT2G17410",0,"VND1",0,"AT2G18090",0,"AT2G17410",0,"AT2G14760",0,"GBF5",0,"BLH7",0,"MYB7",0,"NAC036",0,"AT2G16210",0,"AT2G18300",0,"WUS1",0,"ANR1",0,"ANR1",0,"AT2G16210",0,"AT2G18090",0,"AT2G17410",0,"NAC036",0,"AT2G15740",0,"DAZ1",0,"DAZ1",0,"DAZ1",0,"DAZ1",0,"NFD4",0,"AT2G16210",0,"AT2G14760",0,"TLP2",0,"AT2G14760",0,"SRS4",0,"SRS4",0,"AT2G14760",0,"AT2G18090",0,"AT2G17150",0,"GBF5",0,"TLP2",0,"TLP2",0,"DAZ1",0,"TLP2",0,"VND1",0
"AT2G13150","AT2G13150",0,"DAZ1",0,"DAZ1",0,"WUS1",0,"GBF5",0,"SRS4",0,"BLH7",0,"BLH7",0,"AT2G18300",0,"NFD4",0,"VND1",0,"NFD4",0,"NFD4",0,"AT2G18090",0,"SRS4",0,"NFD4",0,"AT2G15740",0,"TLP2",0,"MYB7",0,"AMS",0,"AT2G17150",0,"BLH7",0,"ZHD6",0,"VND1",0,"AT2G14760",0,"AT2G14760",0,"BLH7",0,"SRS4",0,"NFD4",0,"AT2G17150",0,"AT2G16210",0,"AT2G17410",0,"AT2G17410",0,"AT2G17410",0,"AT2G17410",0,"WUS1",0,"BLH7",0,"AT2G15740",0,"AT2G18300",0,"AT2G15740",0,"GBF5",0,"GBF5",0,"AT2G15740",0,"SRS4",0,"DAZ1",0,"TLP2",0,"AT2G18300",0,"AT2G18300",0,"AT2G17410",0,"AT2G18300",0,"AT2G18090",0
"NF-YB7","NF-YB7",0,"AT2G17410",0,"AT2G17410",0,"VND1",0,"TLP2",0,"GBF5",0,"MYB7",0,"MYB7",0,"ZHD6",0,"WUS1",0,"AT2G18090",0,"WUS1",0,"WUS1",0,"SRS4",0,"GBF5",0,"WUS1",0,"AT2G16210",0,"AT2G18300",0,"AMS",0,"NAC036",0,"DAZ1",0,"MYB7",0,"HANL1",0,"AT2G18090",0,"AT2G15740",0,"AT2G15740",0,"MYB7",0,"GBF5",0,"WUS1",0,"DAZ1",0,"BLH7",0,"NFD4",0,"NFD4",0,"NFD4",0,"NFD4",0,"VND1",0,"MYB7",0,"AT2G16210",0,"ZHD6",0,"AT2G16210",0,"TLP2",0,"TLP2",0,"AT2G16210",0,"GBF5",0,"AT2G17410",0,"AT2G18300",0,"ZHD6",0,"ZHD6",0,"NFD4",0,"ZHD6",0,"SRS4",0
"ANR1","ANR1",0,"NFD4",0,"NFD4",0,"AT2G18090",0,"AT2G18300",0,"TLP2",0,"AMS",0,"AMS",0,"HANL1",0,"VND1",0,"SRS4",0,"VND1",0,"VND1",0,"GBF5",0,"TLP2",0,"VND1",0,"BLH7",0,"ZHD6",0,"NAC036",0,"AT2G17150",0,"AT2G17410",0,"AMS",0,"AT2G18490",0,"SRS4",0,"AT2G16210",0,"AT2G16210",0,"AMS",0,"TLP2",0,"VND1",0,"AT2G17410",0,"MYB7",0,"WUS1",0,"WUS1",0,"WUS1",0,"WUS1",0,"AT2G18090",0,"AMS",0,"BLH7",0,"HANL1",0,"BLH7",0,"AT2G18300",0,"ZHD6",0,"BLH7",0,"TLP2",0,"NFD4",0,"ZHD6",0,"HANL1",0,"HANL1",0,"WUS1",0,"HANL1",0,"GBF5",0
"AT2G14760","AT2G14760",0,"WUS1",0,"WUS1",0,"SRS4",0,"ZHD6",0,"AT2G18300",0,"NAC036",0,"NAC036",0,"AT2G18490",0,"AT2G18090",0,"GBF5",0,"AT2G18090",0,"AT2G18090",0,"TLP2",0,"AT2G18300",0,"AT2G18090",0,"MYB7",0,"HANL1",0,"AT2G17150",0,"DAZ1",0,"NFD4",0,"NAC036",0,"HB21",0,"GBF5",0,"BLH7",0,"BLH7",0,"NAC036",0,"AT2G18300",0,"AT2G18090",0,"NFD4",0,"AMS",0,"VND1",0,"VND1",0,"VND1",0,"VND1",0,"SRS4",0,"NAC036",0,"MYB7",0,"AT2G18490",0,"MYB7",0,"ZHD6",0,"HANL1",0,"MYB7",0,"AT2G18300",0,"WUS1",0,"HANL1",0,"AT2G18490",0,"AT2G18490",0,"VND1",0,"AT2G18490",0,"TLP2",0
"AT2G15740","AT2G15740",0,"VND1",0,"VND1",0,"GBF5",0,"HANL1",0,"ZHD6",0,"AT2G17150",0,"AT2G17150",0,"HB21",0,"SRS4",0,"TLP2",0,"SRS4",0,"SRS4",0,"AT2G18300",0,"ZHD6",0,"SRS4",0,"AMS",0,"AT2G18490",0,"DAZ1",0,"AT2G17410",0,"WUS1",0,"AT2G17150",0,"AT2G18850",0,"TLP2",0,"MYB7",0,"MYB7",0,"AT2G17150",0,"ZHD6",0,"SRS4",0,"WUS1",0,"NAC036",0,"AT2G18090",0,"AT2G18090",0,"AT2G18090",0,"AT2G18090",0,"GBF5",0,"AT2G17150",0,"AMS",0,"HB21",0,"AMS",0,"HANL1",0,"AT2G18490",0,"AMS",0,"ZHD6",0,"VND1",0,"AT2G18490",0,"HB21",0,"HB21",0,"AT2G18090",0,"HB21",0,"AT2G18300",0
"AT2G16210","AT2G16210",0,"AT2G18090",0,"AT2G18090",0,"TLP2",0,"AT2G18490",0,"HANL1",0,"DAZ1",0,"DAZ1",0,"AT2G18850",0,"GBF5",0,"AT2G18300",0,"GBF5",0,"GBF5",0,"ZHD6",0,"HANL1",0,"GBF5",0,"NAC036",0,"HB21",0,"AT2G17410",0,"NFD4",0,"VND1",0,"DAZ1",0,"AT2G19380",0,"AT2G18300",0,"AMS",0,"AMS",0,"DAZ1",0,"HANL1",0,"GBF5",0,"VND1",0,"AT2G17150",0,"SRS4",0,"SRS4",0,"SRS4",0,"SRS4",0,"TLP2",0,"DAZ1",0,"NAC036",0,"AT2G18850",0,"NAC036",0,"AT2G18490",0,"HB21",0,"NAC036",0,"HANL1",0,"AT2G18090",0,"HB21",0,"AT2G18850",0,"AT2G18850",0,"SRS4",0,"AT2G18850",0,"ZHD6",0
"BLH7","BLH7",0,"SRS4",0,"SRS4",0,"AT2G18300",0,"HB21",0,"AT2G18490",0,"AT2G17410",0,"AT2G17410",0,"AT2G19380",0,"TLP2",0,"ZHD6",0,"ZHD6",0,"ZHD6",0,"HANL1",0,"AT2G18490",0,"TLP2",0,"AT2G17150",0,"AT2G18850",0,"NFD4",0,"WUS1",0,"AT2G18090",0,"AT2G17410",0,"LBD8",0,"ZHD6",0,"NAC036",0,"NAC036",0,"AT2G17410",0,"AT2G18490",0,"AT2G18300",0,"AT2G18090",0,"DAZ1",0,"GBF5",0,"GBF5",0,"GBF5",0,"GBF5",0,"ZHD6",0,"AT2G17410",0,"AT2G17150",0,"AT2G19380",0,"AT2G17150",0,"HB21",0,"AT2G18850",0,"AT2G17150",0,"AT2G18490",0,"SRS4",0,"AT2G18850",0,"AT2G19380",0,"AT2G19380",0,"GBF5",0,"AT2G19380",0,"HANL1",0
"MYB7","MYB7",0,"GBF5",0,"GBF5",0,"ZHD6",0,"AT2G18850",0,"HB21",0,"NFD4",0,"NFD4",0,"LBD8",0,"ZHD6",0,"HANL1",0,"HANL1",0,"HANL1",0,"AT2G18490",0,"HB21",0,"AT2G18300",0,"DAZ1",0,"AT2G19380",0,"WUS1",0,"VND1",0,"SRS4",0,"NFD4",0,"OZF1",0,"HANL1",0,"AT2G17150",0,"AT2G17150",0,"NFD4",0,"HB21",0,"ZHD6",0,"SRS4",0,"AT2G17410",0,"TLP2",0,"TLP2",0,"TLP2",0,"TLP2",0,"HANL1",0,"NFD4",0,"DAZ1",0,"LBD8",0,"DAZ1",0,"AT2G18850",0,"AT2G19380",0,"DAZ1",0,"HB21",0,"GBF5",0,"AT2G19380",0,"LBD8",0,"LBD8",0,"TLP2",0,"LBD8",0,"AT2G18490",0
"AMS","AMS",0,"TLP2",0,"TLP2",0,"HANL1",0,"AT2G19380",0,"AT2G18850",0,"WUS1",0,"WUS1",0,"OZF1",0,"HANL1",0,"AT2G18490",0,"AT2G18490",0,"AT2G18490",0,"HB21",0,"AT2G18850",0,"ZHD6",0,"AT2G17410",0,"LBD8",0,"VND1",0,"AT2G18090",0,"GBF5",0,"WUS1",0,"AT2G20110",0,"AT2G18490",0,"DAZ1",0,"DAZ1",0,"WUS1",0,"AT2G18850",0,"HANL1",0,"GBF5",0,"NFD4",0,"ZHD6",0,"ZHD6",0,"ZHD6",0,"ZHD6",0,"AT2G18490",0,"WUS1",0,"AT2G17410",0,"OZF1",0,"AT2G17410",0,"AT2G19380",0,"LBD8",0,"AT2G17410",0,"AT2G18850",0,"ZHD6",0,"LBD8",0,"OZF1",0,"OZF1",0,"ZHD6",0,"OZF1",0,"HB21",0
