sym,pw
PAL1,AT2G37040
PAL2,AT3G53260
PAL3,AT5G04230
PAL4,AT3G10340
C4H,AT2G30490
4CL1,AT1G51680
4CL2,AT3G21240
4CL3,AT1G65060
4CL5,AT3G21230
CAD1,AT1G72680
CAD2,AT2G21730
CAD3,AT2G21890
CAD4,AT3G19450
CAD5,AT4G34230
CAD6,AT4G37970
CAD7,AT4G37980
CAD8,AT4G37990
CAD9,AT4G39330
HCT,AT2G19070
C3H,AT2G40890
CCOAOMT1,AT4G34050
F5H,AT4G36220
CCR1,AT1G15950
CCR2,AT1G80820
COMT1,AT5G54160
CSE,AT1G52760
