pw
AT1G01050
AT1G01090
AT1G01120
AT1G01190
AT1G01220
AT1G01280
AT1G01290
AT1G01420
AT1G01460
AT1G01480
AT1G01580
AT1G01590
AT1G01600
AT1G01610
AT1G01710
AT1G02000
AT1G02050
AT1G02190
AT1G02205
AT1G02390
AT1G02400
AT1G02460
AT1G02500
AT1G02590
AT1G02640
AT1G02730
AT1G02790
AT1G02810
AT1G02850
AT1G02880
AT1G02920
AT1G02930
AT1G02940
AT1G02950
AT1G03090
AT1G03130
AT1G03390
AT1G03475
AT1G03630
AT1G04040
AT1G04180
AT1G04220
AT1G04410
AT1G04420
AT1G04580
AT1G04610
AT1G04640
AT1G04710
AT1G04920
AT1G05010
AT1G05160
AT1G05310
AT1G05470
AT1G05530
AT1G05560
AT1G05570
AT1G05610
AT1G05620
AT1G05630
AT1G05650
AT1G05660
AT1G05675
AT1G05680
AT1G05800
AT1G06000
AT1G06020
AT1G06030
AT1G06080
AT1G06090
AT1G06100
AT1G06120
AT1G06130
AT1G06250
AT1G06290
AT1G06310
AT1G06350
AT1G06360
AT1G06410
AT1G06490
AT1G06520
AT1G06550
AT1G06570
AT1G06680
AT1G06690
AT1G06730
AT1G06780
AT1G06800
AT1G06820
AT1G07180
AT1G07230
AT1G07240
AT1G07250
AT1G07260
AT1G07380
AT1G07720
AT1G07780
AT1G07890
AT1G08065
AT1G08080
AT1G08110
AT1G08200
AT1G08250
AT1G08380
AT1G08480
AT1G08490
AT1G08510
AT1G08520
AT1G08550
AT1G08630
AT1G08830
AT1G08980
AT1G09240
AT1G09350
AT1G09400
AT1G09420
AT1G09430
AT1G09480
AT1G09490
AT1G09500
AT1G09510
AT1G09560
AT1G09620
AT1G09780
AT1G09795
AT1G09830
AT1G09870
AT1G09940
AT1G10050
AT1G10060
AT1G10070
AT1G10360
AT1G10370
AT1G10400
AT1G10640
AT1G10670
AT1G10700
AT1G10740
AT1G10760
AT1G10830
AT1G10900
AT1G11090
AT1G11370
AT1G11580
AT1G11590
AT1G11600
AT1G11610
AT1G11720
AT1G11790
AT1G11840
AT1G11860
AT1G11870
AT1G12000
AT1G12010
AT1G12050
AT1G12140
AT1G12200
AT1G12230
AT1G12240
AT1G12350
AT1G12520
AT1G12640
AT1G12740
AT1G12780
AT1G12880
AT1G12900
AT1G13280
AT1G13440
AT1G13560
AT1G13640
AT1G13700
AT1G13710
AT1G13900
AT1G14120
AT1G14130
AT1G14150
AT1G14240
AT1G14250
AT1G14290
AT1G14520
AT1G14610
AT1G14700
AT1G14810
AT1G14860
AT1G15080
AT1G15110
AT1G15550
AT1G15690
AT1G15710
AT1G15950
AT1G16300
AT1G16340
AT1G16350
AT1G16400
AT1G16410
AT1G16460
AT1G16540
AT1G16570
AT1G16700
AT1G16780
AT1G16980
AT1G17000
AT1G17010
AT1G17020
AT1G17050
AT1G17160
AT1G17170
AT1G17180
AT1G17190
AT1G17290
AT1G17410
AT1G17420
AT1G17745
AT1G17890
AT1G17960
AT1G17990
AT1G18020
AT1G18130
AT1G18270
AT1G18300
AT1G18360
AT1G18440
AT1G18500
AT1G18580
AT1G18590
AT1G18640
AT1G18690
AT1G18870
AT1G19440
AT1G19550
AT1G19570
AT1G19580
AT1G19600
AT1G19630
AT1G19670
AT1G19920
AT1G20020
AT1G20260
AT1G20480
AT1G20490
AT1G20500
AT1G20510
AT1G20560
AT1G20575
AT1G20620
AT1G20630
AT1G20950
AT1G21100
AT1G21110
AT1G21120
AT1G21130
AT1G21400
AT1G21430
AT1G21440
AT1G21530
AT1G21540
AT1G21640
AT1G21980
AT1G22020
AT1G22100
AT1G22170
AT1G22210
AT1G22340
AT1G22360
AT1G22370
AT1G22380
AT1G22400
AT1G22410
AT1G22430
AT1G22440
AT1G22450
AT1G22650
AT1G22940
AT1G23020
AT1G23190
AT1G23200
AT1G23310
AT1G23320
AT1G23330
AT1G23360
AT1G23460
AT1G23730
AT1G23740
AT1G23800
AT1G23820
AT1G23870
AT1G24100
AT1G24180
AT1G24280
AT1G24360
AT1G24735
AT1G24807
AT1G24909
AT1G25083
AT1G25155
AT1G25220
AT1G25230
AT1G25350
AT1G25410
AT1G25450
AT1G25460
AT1G26100
AT1G26190
AT1G26270
AT1G26560
AT1G26570
AT1G27130
AT1G27140
AT1G27160
AT1G27450
AT1G27680
AT1G27980
AT1G28030
AT1G28130
AT1G28350
AT1G29410
AT1G29870
AT1G29880
AT1G29900
AT1G30040
AT1G30100
AT1G30120
AT1G30370
AT1G30380
AT1G30510
AT1G30520
AT1G30530
AT1G30620
AT1G30820
AT1G31070
AT1G31180
AT1G31190
AT1G31220
AT1G31230
AT1G31330
AT1G31670
AT1G31690
AT1G31710
AT1G31800
AT1G31860
AT1G31910
AT1G31950
AT1G32060
AT1G32180
AT1G32200
AT1G32350
AT1G32380
AT1G32440
AT1G32480
