"","CCR1_pwg","CCR1_coeff","CCR1_pwg","CCR1_coeff","4CL1_pwg","4CL1_coeff","CSE_pwg","CSE_coeff","4CL3_pwg","4CL3_coeff","CAD1_pwg","CAD1_coeff","CCR2_pwg","CCR2_coeff","HCT_pwg","HCT_coeff","CAD2_pwg","CAD2_coeff","CAD3_pwg","CAD3_coeff","C4H_pwg","C4H_coeff","PAL1_pwg","PAL1_coeff","C3H_pwg","C3H_coeff","PAL4_pwg","PAL4_coeff","CAD4_pwg","CAD4_coeff","4CL5_pwg","4CL5_coeff","4CL2_pwg","4CL2_coeff","PAL2_pwg","PAL2_coeff","CCoAOMT1_pwg","CCoAOMT1_coeff","CAD5_pwg","CAD5_coeff","F5H_pwg","F5H_coeff","CAD6_pwg","CAD6_coeff","CAD7_pwg","CAD7_coeff","CAD8_pwg","CAD8_coeff","CAD9_pwg","CAD9_coeff","PAL3_pwg","PAL3_coeff","COMT1_pwg","COMT1_coeff"
"MYB55","MYB55",69.6823057871428,"NFD4",40.5606560446786,"MYB103",79.7535185643003,"MYB16",71.1222143466207,"ERF3",64.5271047318105,"WRKY45",30.2886542443567,"TIP",59.5258716732563,"SUN6",26.9771316521317,"TGA5",59.5454476527296,"TGA5",59.5454476527296,"ZHD1",70.4231668858116,"MYB52",67.1367867862453,"AT1G66810",69.8471774346046,"MYB103",97.06799794888,"SND3",70.8097531286914,"GATA12",67.434129160414,"AT5G54630",62.8833779881096,"BPC7",53.2086439681461,"AT1G66810",76.9926672171783,"MYB85",108.361907525026,"MYB52",47.0815725873576,"PAP1",62.3672823940508,"HSFB1",102.894306733765,"AGL101",39.7194663534742,"EEL",76.8005308235962,"TIFY10B",56.1999678725954,"MYB103",88.9028322634996
"MYB52","MYB52",67.835642527033,"AT1G49010",40.1026572574518,"MYB52",69.1810463163986,"ZHD1",70.718719970869,"MYB46",64.2066980127156,"TIFY10B",30.0162312611845,"SCL13",59.3348004240985,"WRKY23",26.5037352193996,"GTL1",58.1032113429908,"GTL1",58.1032113429908,"MYB103",66.3989801205557,"MYB55",63.2337672820883,"MYB55",68.1984594292699,"AT1G66810",96.0469418605889,"EIN3",67.5292715403549,"MYB52",62.3483034990908,"SND1",62.8101431601193,"TGA5",52.2377840996916,"MYB52",74.7453733563735,"GATA12",103.197722667016,"MYB103",46.5606292536426,"BZIP61",61.985931408722,"KNAT2",101.438460752955,"TFPD",38.6289244618893,"TIFY10B",75.5669429967016,"PIL6",55.2437253301213,"AT1G66810",77.7607095321304
"MYB103","MYB103",67.0285971318235,"AT5G06550",39.6547617128365,"MYB55",68.4883720133979,"MYB103",70.3919690296279,"SCRM2",63.8298417145956,"AT4G38900",29.6034781366768,"GTL1",59.294004757552,"COL5",26.2351563110172,"bZIP58",57.8687440168391,"bZIP58",57.8687440168391,"HSFB1",62.6023082110491,"HSFB1",62.9803226607845,"AT1G68200",66.4088118307485,"AT3G16280",86.2665580496953,"SOG1",66.3180559250836,"MYB103",62.1146646513754,"TIFY10B",62.2127567624639,"CRF5",52.0529848830354,"SCRM2",73.39970425384,"MYB32",101.374404172522,"TGA5",46.3243852311498,"TIFY11A",60.5444761022471,"AT3G07670",100.722090521779,"TCP5",38.3184365178951,"WRKY45",74.4963851877612,"ZHD1",53.8583400649094,"MYB52",76.3723032925862
"AT1G68200","AT1G68200",67.0003286238687,"WRKY32",38.0802127855523,"AT1G66810",67.9678612489548,"MYB32",69.6426530950667,"KNAT1",63.8016026535877,"SHI",29.1419176675609,"ERF3",59.0728392966554,"AT2G44745",25.8940859789602,"IAA13",57.3194862947555,"IAA13",57.3194862947555,"bZIP6",61.4709722122284,"MYB103",62.7478849781628,"VND4",65.3804461428062,"AT1G68200",84.8641972499736,"DPBF3",64.511548336531,"MYB43",59.3243166972861,"YAB5",58.9759361516784,"AT3G14740",51.8191141534445,"MYB55",71.2369711974315,"MYB16",100.424552555226,"GATA12",45.9640159714291,"HAT1",59.7700608314603,"BEH1",99.9125048095024,"AT4G31680",37.6017324936537,"AT5G16680",74.2460043689651,"SCL21",51.6020861683986,"VND4",74.3869727334288
"VND4","VND4",65.2300356149071,"AT4G12240",37.1397835951813,"MYB43",67.2861461164587,"AT4G12240",68.9718375174887,"bZIP58",62.6730529347544,"LRL3",28.3718311091061,"WRKY69",58.8437413863519,"SCL14",25.497006648874,"ZFP3",57.0677556356818,"ZFP3",57.0677556356818,"MYB52",60.1574345862636,"MYB43",59.5338388323679,"AT3G16280",64.2971400593011,"VND4",76.2840383053833,"MYB55",62.8965376002389,"MYB55",56.673293094773,"ATML1",58.8226026478601,"HSFB1",49.6254918103867,"VND4",71.0833625746444,"SCRM2",99.8196378963445,"MYB43",45.4737724855825,"SND2",59.7094514299029,"AGL87",99.3424160781669,"COL5",36.9747479101468,"BZO2H4",74.0737930888279,"ATAF1",51.1329363150066,"MYB55",73.8264575178355
"SCRM2","SCRM2",64.4711532725528,"ZFN3",37.1172860207184,"AT3G16280",65.9907971843562,"SND3",68.9137676688305,"NST2",62.145130787267,"TIFY8",28.0499657590773,"TIFY11A",58.7000728283762,"AT1G28050",25.4286898270652,"TGA1",56.6638257025964,"TGA1",56.6638257025964,"AT1G66810",59.24814270161,"bZIP6",59.2971323692381,"bZIP6",63.4410501996225,"MYB55",75.9662803115356,"WRKY32",61.8220455506112,"TGA5",56.2163125017354,"CIA2",58.3883655461539,"MYB103",49.4909802429467,"MYB16",70.7420579106172,"PDF2",98.4630493399031,"NST2",44.7474891012172,"AT3G54390",58.1883030036554,"AT4G01460",98.1240537933529,"AT2G38090",36.579876962341,"GPRI1",74.0284956803588,"EDA29",50.2808305233231,"MYB43",68.1401815072814
"AT4G31420","AT4G31420",61.3467437533966,"WRKY17",36.9452955028869,"IDD5",65.6553146279936,"AT4G31420",68.8434688507843,"AT1G68200",61.8274658214293,"AT5G23405",27.7615177914252,"TIFY10A",57.2028417188998,"HB-3",25.4256610985702,"CRF5",55.1397648655779,"CRF5",55.1397648655779,"AT3G16280",59.1630881535677,"VND4",58.7917373858642,"EEL",62.8194041036531,"ZHD4",72.4717331475428,"MYB103",61.4153688054545,"VND4",53.5992355311685,"SND3",57.6268324827771,"MYB43",48.8825857670906,"AT1G68200",70.6321085484117,"AT1G03040",94.4999132126769,"IDD5",44.5197112079176,"GTL1",57.2833109944473,"KNAT1",96.6814728123198,"MYB16",34.9395956525241,"ZFN1",73.8511455657797,"AT3G62240",47.9322254717392,"bZIP6",63.4506758137439
"MYB85","MYB85",61.1570340976649,"MYB60",36.7068636559057,"VND4",64.4540416249657,"TCP2",68.368482623199,"AT1G69170",60.9124125652245,"LBD16",27.7324426485072,"NAC053",54.274685875237,"AT5G51190",25.2134164915092,"AT2G38250",54.8280152273488,"AT2G38250",54.8280152273488,"AT3G14740",58.7363077939644,"AT3G14740",57.9123785383874,"MYB103",62.1873180626277,"MYB52",71.3835922833128,"KNAT2",57.9893675318271,"AT3G14740",51.6174393759087,"ZHD1",57.5437244542894,"SHI",47.8652535021482,"bZIP6",69.4392750619704,"AT4G31420",94.3582150506029,"SCRM",42.4951031832104,"AT1G03040",57.2541038766738,"ZFP6",95.9589855658462,"YAB3",33.9491816322774,"AT3G14740",73.841842048289,"AT5G14260",47.8465950707551,"AT1G68200",63.256735162033
"MYB16","MYB16",59.8289439893373,"AT5G23405",36.6056211716099,"TGA5",60.6617989275815,"YAB1",67.2541143501263,"AT1G75710",60.7568722874723,"LEP",27.6775383072033,"MYB15",51.3781912727411,"CIA2",24.7121772387829,"AT3G54390",53.8920714053087,"AT3G54390",53.8920714053087,"VND4",58.731999345717,"AT1G66810",57.4409947677829,"BEE2",61.0424282895924,"SCRM2",70.33535481581,"VND4",57.2493345714327,"ZHD1",51.4191686983972,"TCP2",56.9854292397298,"WRKY45",46.9400636113717,"HSFB1",69.1287028907447,"bZIP58",92.4557114955219,"EIL1",42.2931046311887,"AT5G54630",55.3654942886545,"IAA9",95.7854812715871,"TCP10",33.660087644296,"WRKY69",73.6292283063139,"TGA6",47.7321428944536,"IDD5",62.253472771222
"bZIP58","bZIP58",58.942380002067,"AT2G21530",36.2294436888116,"bZIP6",60.6077450040094,"AT1G66810",67.2362182117331,"MYB60",60.6668823088127,"WRKY69",27.60175555087,"MYB60",51.2227086453212,"AT3G62240",24.4925249281311,"GT2",52.3580970217158,"GT2",52.3580970217158,"MYB43",57.6995259660546,"ZHD1",57.1156311769892,"MYB52",60.9665525789018,"EEL",70.2874000807582,"EEL",57.1586286935406,"bZIP6",51.2812708917151,"VND4",56.5779060714102,"SOG1",46.6773196345769,"MYB103",67.7397843502619,"EDA29",91.8248166971141,"ARF17",40.6622935607187,"EIL1",53.924984901716,"bHLH104",95.177076191387,"DAZ2",33.2533893873383,"BPC7",73.6053318225329,"TCP2",47.5741222670024,"bZIP58",60.6738113759302
