Gene,sym
AT2G47460,PFG1
AT4G09820,TT8
AT1G71030,MYBL2
AT1G63650,EGL3
AT5G11260,TED 5
AT3G17609,HYH
AT1G56650,SIAA1
AT1G66390,PAP2
