SUSY1,AT5G20830,,
SUSY2,AT5G49190,,
SUSY3,AT4G02280,,
SUSY4,AT3G43190,,
SUSY5,AT5G37180,,
SUSY6,AT1G73370,,
CESA1,AT4G32410,,
CESA2,AT4G39350,,
CESA3,AT5G05170,,
CESA4,AT5G44030,,
CESA5,AT5G09870,,
CESA6,AT5G64740,,
CESA7,AT5G17420,,
CESA8,AT4G18780,,
CESA9,AT2G21770,,
CESA10,AT2G25540,,
HEX1,AT4G29130,,
HEX2,AT2G19860,,
HEX3,AT1G47840,,
PGM1,AT5G51820,,
PGM2,AT1G70730,,
PGM3,AT1G23190,,
UGP1,AT3G03250,,
UGP2,AT5G17310,,
UGP3,AT3G56040,,
UGD1,AT1G26570,,
UGD2,AT3G29360,,
UGD3,AT5G15490,,
UGD4,AT5G39320,,
UXS1,AT3G53520,,
UXS2,AT3G62830,,
UXS3,AT5G59290,,
UXS4,AT2G47650,,
UXS5,AT3G46440,,
UXS6,AT1G51980,,
IRX10,AT1G27440,,
GATL1,AT1G19300,,
GATL2,AT3G50760,,
GATL3,AT1G13250,,
GATL4,AT3G06260,,
GATL5,AT1G02720,,
GATL6,AT4G02130,,
GATL7,AT3G62660,,
GATL8,AT1G24170,,
GATL9,AT1G70090,,
GATL10,AT3G28340,,
IRX9,AT2G37090,,
IRX14,AT4G36890,,
IRX7,AT2G28110,,
IRX8,AT5G54690,,
GUX1,AT3G18660,,
GUX2,AT4G33330,,
GUX3,AT1G77130,,
GUX4,AT1G54940,,
GUX5,AT1G08990,,
DUF579_IRX15,AT3G50220,,
DUF579_IRX15L,AT5G67210,,
DUF231_TBR,AT5G06700,,
DUF231_TBL3,AT5G01360,,
RWA1,AT5G46340,,
RWA2,AT3G06550,,
RWA3,AT2G34410,,
RWA4,AT1G29890,,
INV1,AT3G13790,,
INV2,AT3G52600,,
INV3,AT1G55120,,
INV4,AT2G36190,,
INV5,AT3G13784,,
INV6,AT5G11920,,
PGI1,AT4G24620,,
PGI2,AT5G42740,,
FRK1,AT2G31390,,
FRK2,AT1G06030,,
FRK3,AT1G06020,,
FRK4,AT3G59480,,
FRK5,AT4G10260,,
FRK6,AT1G66430,,
FRK7,AT5G51830,,
FRK8,AT1G50390,,
PMI1,AT3G02570,,
PMI2,AT1G67070,,
PMM,AT2G45790,,
GMP,AT2G39770,,
CSLA1,AT4G16590,,
CSLA2,AT5G22740,,
CSLA3,AT1G23480,,
CSLA7,AT2G35650,,
CSLA9,AT5G03760,,
CSLA10,AT1G24070,,
CSLA11,AT5G16190,,
CSLA14,AT3G56000,,
CSLA15,AT4G13410,,
